,activ1,activ10,activ11,activ12,activ13,activ14,activ15,activ16,activ17,activ18,activ19,activ2,activ20,activ21,activ22,activ23,activ24,activ25,activ26,activ27,activ28,activ29,activ3,activ30,activ31,activ32,activ33,activ34,activ35,activ36,activ37,activ38,activ39,activ4,activ40,activ41,activ42,activ43,activ44,activ45,activ46,activ47,activ48,activ49,activ5,activ50,activ51,activ52,activ53,activ54,activ55,activ56,activ57,activ58,activ59,activ6,activ60,activ61,activ62,activ63,activ64,activ65,activ66,activ67,activ68,activ69,activ7,activ70,activ71,activ72,activ73,activ74,activ75,activ76,activ8,activ9,hiweight,icetv2x,idnumber,loweight,snobd2x,snork2x,soc3x,soft3x,tab086a,tab086aa,tab194a,tab228,tab231,tab245a,tab285a,tenn2x,voll3x,walk8x,wghts2x,wski2x,wsrf2x,xski2x,xski6x
10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,311.04,0.00,11.00,1.28,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
11,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1278.64,0.00,12.00,0.57,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00
12,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,9681.80,0.00,13.00,1.96,0.00,0.00,0.00,0.00,No,No,No,Yes,Yes,No,No,0.00,0.00,25.00,100.00,0.00,0.00,0.00,0.00
13,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,84.36,0.00,14.00,0.44,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,4.00,40.00,0.00,0.00,0.00,0.00,0.00
14,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,7578.15,0.00,15.00,1.54,0.00,0.00,0.00,0.00,No,No,No,Yes,No,No,Yes,25.00,0.00,100.00,20.00,0.00,0.00,10.00,10.00
15,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,247.31,0.00,16.00,1.00,0.00,0.00,0.00,0.00,No,No,No,Yes,No,No,No,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00
16,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,4563.21,0.00,17.00,0.96,0.00,0.00,0.00,0.00,No,No,No,Yes,Yes,No,No,0.00,0.00,30.00,20.00,2.00,0.00,0.00,0.00
17,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2241.35,0.00,18.00,0.56,0.00,0.00,0.00,0.00,No,No,No,Yes,Yes,No,No,0.00,0.00,60.00,120.00,0.00,0.00,0.00,0.00
18,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1769.44,0.00,19.00,0.47,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00
19,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,116.80,0.00,20.00,0.61,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00
20,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,912.05,0.00,21.00,0.71,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,84.36,0.00,22.00,0.44,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00
22,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5117.96,0.00,23.00,1.29,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,4201.59,0.00,24.00,1.06,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,5352.74,0.00,25.00,1.35,0.00,0.00,0.00,0.00,No,No,No,Yes,Yes,No,No,0.00,0.00,12.00,200.00,0.00,0.00,0.00,0.00
25,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1278.64,0.00,26.00,0.57,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,116.80,0.00,27.00,0.61,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,294.55,0.00,28.00,1.74,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00
28,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,160.89,0.00,29.00,0.83,0.00,0.00,0.00,10.00,No,No,No,Yes,No,No,No,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00
29,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,232.30,0.00,30.00,1.20,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00
30,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,84.36,0.00,31.00,0.44,0.00,0.00,0.00,0.00,No,No,No,Yes,No,No,No,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00
31,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,160.89,0.00,32.00,0.83,0.00,0.00,0.00,0.00,No,No,No,Yes,No,No,No,0.00,0.00,100.00,0.00,5.00,0.00,0.00,0.00
32,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,84.36,0.00,33.00,0.44,0.00,0.00,0.00,0.00,No,No,No,No,Yes,No,No,0.00,0.00,150.00,20.00,0.00,0.00,0.00,0.00
33,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,110.69,0.00,34.00,0.57,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00
34,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2595.42,0.00,35.00,1.36,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00
35,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,2814.35,0.00,36.00,0.71,0.00,0.00,0.00,0.00,No,No,No,Yes,No,No,No,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,2961.50,0.00,37.00,0.74,0.00,0.00,0.00,0.00,No,No,No,Yes,Yes,No,No,0.00,4.00,12.00,200.00,0.00,0.00,0.00,0.00
37,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,2833.07,0.00,38.00,0.71,0.00,0.00,0.00,0.00,No,No,No,No,No,No,No,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00
38,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,76.63,0.00,39.00,0.40,0.00,0.00,0.00,0.00,No,No,No,Yes,No,No,No,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00
